ID,ID_CUSTOMER,ID_BRAND,ID_CATEGORY,DATE_CREATED,DATE_COMPLETED,DATE_SOLD
18716193,9482b6fead49439b7dc0527781507ea4b03efa7c1c594fc68f415e408842ef07,118,5,2021-09-01T13:21:25Z,2021-09-01T13:31:06Z,2021-09-13T22:36:21Z
18722511,1265e72d992c7d690f5825c882e9edca2ac5c0ed253e6d140371505ed14a8253,8880,2,2021-09-01T18:50:19Z,2021-09-01T20:07:44Z,2021-09-14T07:53:02Z
18715477,169fc41dbda63fb0480fe3c7653d63030e71d96cffdba8e46c108f263de5a06d,209,12,2021-09-01T12:52:32Z,2021-09-01T12:56:24Z,2021-09-02T11:31:04Z
18717486,036d63c856513ed2ac3cc5fe8105871f1c05f4a6ebfbd8c3a067168b94ce674c,4476,2,2021-09-01T14:31:34Z,2021-09-01T14:36:31Z,2021-09-07T12:23:10Z
18716641,3711516157cc777041eababa675b85709b666e7d357499f94d1baa68681965af,5312,12,2021-09-01T13:45:26Z,2021-09-01T13:48:56Z,2021-09-25T13:56:10Z
18724297,bf423227dc5c4426a00ae3d1029133daea275048074bae57fb61bd1c3d418e4f,94,9,2021-09-01T20:56:33Z,2021-09-01T20:59:36Z,2021-09-20T10:51:43Z
18714665,ff54e404f62e9c2fe6cfead91429992bcd75247ebdb9daa137a1bfdc6a1db5da,2,2,2021-09-01T12:16:25Z,2021-09-01T12:19:12Z,2021-09-20T12:29:38Z
18709795,ca8d40f98d813fb5d10b7934cb7224fbc2ff2d9bdc8d65fa963e9b772161146f,1876,2,2021-09-01T01:11:13Z,2021-09-01T01:14:28Z,2021-09-06T21:22:14Z
18722446,9dfdd62b76db109d51f532a3e70fe91df8f8b89d94bdc17390b2885879cc5025,65,5,2021-09-01T18:45:41Z,2021-09-02T05:48:29Z,2021-09-02T20:43:03Z
18715383,57065e9ba45f563d80cbf150a0cc58c73d5020128c0040e94ff4b9995b7f351e,60,6,2021-09-01T12:48:46Z,2021-09-01T12:52:57Z,2021-09-03T16:45:24Z
18710597,57fc3c4f6a2a9c2cc39018e94986d5e68de58c5c1163588622da583bd29b3343,809,3,2021-09-01T06:13:10Z,2021-09-01T06:21:17Z,2021-09-01T09:47:16Z
18720825,cee525d5a485eaab6be79c4a613976638b0ca818b86f21caef919c7fe0f60b62,3119,3,2021-09-01T17:18:12Z,2021-09-01T17:57:52Z,2021-09-06T12:09:01Z
